identifier,uri,name,type,project,date,event,source,people
oscys.case.0376.001,http://earlywashingtondc.org/doc/oscys.case.0376.001,Ex parte Anthony. Petition for Habeas Corpus,Civil (document),O Say Can You See,1806-04-19,"","Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.002963;per.002867;per.001547;per.002962;per.002964
oscys.case.0187.001,http://earlywashingtondc.org/doc/oscys.case.0187.001,Jane v. Edmund E. Richards. Petition for Freedom,Civil (document),O Say Can You See,1847-07-15,oscys.caseid.0189,"National Archives and Records Administration, Record Group 21, Entry 6, Box 725, Folder 305",per.001423;per.001424;per.001425
oscys.case.0166.011,http://earlywashingtondc.org/doc/oscys.case.0166.011,Lucy Williams v. George Hope. Petition for Freedom,Civil (document),O Say Can You See,1849-03-14,oscys.caseid.0168,"National Archives and Records Administration, Record Group 21, Entry 6, Box 782, Folder 145",per.001228;per.001229;per.000533
oscys.report.0077.001,http://earlywashingtondc.org/doc/oscys.report.0077.001,William Kennedy v. Clarissa Purnell. Circuit Court Report,Civil (document),O Say Can You See,1839-03,oscys.caseid.0228,"William Cranch, Reports of Cases Civil and Criminal in the United States Circuit Court of the District of Columbia, from 1801 to 1841, Volume V, Boston: Little, Brown and Company (1852)",per.001765;per.001766;per.000737;per.000549;per.001764
oscys.case.0398.003,http://earlywashingtondc.org/doc/oscys.case.0398.003,Dorcas & Julia v. James Smith and Fanny v. Isaac Kell. Affidavit of William Simms,Civil (document),O Say Can You See,1819-11-27,oscys.caseid.0424;oscys.caseid.0425,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 2",per.003161;per.003162;per.003163;per.003164;per.003165;per.003157;per.002274;per.003160;per.003166
oscys.case.0323.005,http://earlywashingtondc.org/doc/oscys.case.0323.005,Margaret Tyler v. Robert Duvall. Summons of Robert Duvall,Civil (document),O Say Can You See,1860-05-26,oscys.caseid.0324,"National Archives and Records Administration, Record Group 21, Entry 6, Box 931, Folder 133",per.002406;per.002407;per.001913;per.001914;per.000476;per.001217;per.000740
oscys.case.0366.009,http://earlywashingtondc.org/doc/oscys.case.0366.009,Lucy Dickson v. Charles Slade. Summons of John Alexander & William Pomery,Civil (document),O Say Can You See,1806-08-08,oscys.caseid.0392,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.002877;per.002878;per.002882;per.000004;per.002816;per.002886;per.002887
oscys.case.0251.014,http://earlywashingtondc.org/doc/oscys.case.0251.014,Margaret Lewis v. Bridget McLaughlin. Summons of Bridget McLaughlin,Civil (document),O Say Can You See,1856-08-04,oscys.caseid.0252,"National Archives and Records Administration, Record Group 21, Entry 6, Box 814, Folder 236",per.001891;per.001892;per.001893;per.001894;per.001895;per.000751;per.000476;per.001216;per.000740
oscys.case.0399.008,http://earlywashingtondc.org/doc/oscys.case.0399.008,Susanna Luckett v. Jonathan P. Walkom & Elizabeth Walkom. Summons of Jonathan P. Walkom & Elizabeth Walkom,Civil (document),O Say Can You See,1823-06-11,oscys.caseid.0426,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 2",per.003168;per.003169;per.003170;per.003171;per.002883;per.000006;per.000004;per.000122;per.002897;per.000461
oscys.mdcase.0012.019,http://earlywashingtondc.org/doc/oscys.mdcase.0012.019,Patty Shorter v. Thomas Stone. Judgment Record,Civil (document),O Say Can You See,1795-10,oscys.caseid.0534,"Maryland State Archives, General Court of the Western Shore (Judgment Record), MSA S497-25 JG 29",per.005320;per.005337;per.005338;per.005339;per.005340;per.005341;per.005342;per.005329;per.001393;per.001495;per.001514;per.001493;per.002691;per.004601;per.005300;per.005302;per.005306;per.005313;per.005323;per.005281;per.005299;per.005151;per.005152;per.005172;per.005198;per.005220;per.005307;per.005222;per.005224;per.005311;per.005312;per.005314;per.005319;per.005251;per.005297;per.005298;per.005054;per.005327;per.005119;per.005174;per.005236;per.005199;per.005201;per.005214;per.005225;per.005315;per.005233;per.005316;per.005318;per.005322;per.005249;per.005324;per.005254;per.005325;per.005295;per.005056;per.005279;per.005071;per.005301;per.005303;per.005328;per.005123;per.004640;per.005282;per.005153;per.005200;per.005208;per.005308;per.005309;per.005238;per.005310;per.005229;per.005317;per.005237;per.005241;per.005246;per.005294;per.005252;per.005165;per.005256
oscys.case.0380.002,http://earlywashingtondc.org/doc/oscys.case.0380.002,Amie v. Hanson Reno. Complaint,Civil (document),O Say Can You See,,oscys.caseid.0405,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.004416;per.004417;per.002883;per.001523;per.004418;per.001531
oscys.case.0386.004,http://earlywashingtondc.org/doc/oscys.case.0386.004,Sarah v. Elijah Taylor. Statement of Facts,Civil (document),O Say Can You See,1818-06-22,oscys.caseid.0411,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.003071;per.003072;per.000122;per.001547;per.003069;per.003070;per.003073;per.003076
oscys.case.0419.001,http://earlywashingtondc.org/doc/oscys.case.0419.001,Nelly Jackson v. Thomas Tebbs. Petition for Freedom,Civil (document),O Say Can You See,,oscys.caseid.0447,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.003380;per.003381;per.002988;per.003382;per.003383;per.003384;per.003385;per.003386;per.003387;per.003388;per.003389;per.003379;per.003390
oscys.case.0434.005,http://earlywashingtondc.org/doc/oscys.case.0434.005,Cyrus Jackson v. Ariss Buckner & Bernard H. Buckner. Summons of Henry Dangerfield & John Armfield,Civil (document),O Say Can You See,1835-05-11,oscys.caseid.0463,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 2",per.003615;per.000904;per.003499;per.000873;per.000866;per.000004;per.003521;per.000122;per.002897
oscys.case.0048.001,http://earlywashingtondc.org/doc/oscys.case.0048.001,David Randall v. John B. Reid. Petition for Freedom,Civil (document),O Say Can You See,1822-12-24,oscys.caseid.0048,"National Archives and Records Administration, Record Group 21, Entry 6, Box 283, Folder 301",per.000477;per.000478;per.000479;per.000003;per.000004;per.000461
oscys.case.0017.004,http://earlywashingtondc.org/doc/oscys.case.0017.004,Letitia Davis v. Rebecca Forrest and Ann Davis v. Charles Minifee. Defendent's Bill of Exceptions,Civil (document),O Say Can You See,,oscys.caseid.0017;oscys.caseid.0018,"National Archives and Records Administration, Record Group 21, Entry 6, Box 34, Folder 197",per.000150;per.000151;per.000152;per.000153;per.000161;per.000162;per.000163;per.000164;per.000165;per.000166;per.000167;per.000159;per.000028;per.000063;per.000064
oscys.case.0191.002,http://earlywashingtondc.org/doc/oscys.case.0191.002,Polly Parker v. Cushing Daniel. Answer of Cushing Daniel,Civil (document),O Say Can You See,1845-06-24,oscys.caseid.0193,"National Archives and Records Administration, Record Group 21, Entry 6, Box 687, Folder 15",per.001609;per.001610;per.000753;per.001611
oscys.case.0370.008,http://earlywashingtondc.org/doc/oscys.case.0370.008,Loudon v. Charles Scott. Edmund J. Lee to George Deneale,Civil (document),O Say Can You See,,oscys.caseid.0396,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.002915;per.002916;per.002816;per.000122
oscys.mdcase.0013.010,http://earlywashingtondc.org/doc/oscys.mdcase.0013.010,Deborah Boston v. Benjamin Ogle. Judgement Record,Civil (document),O Say Can You See,1793-05,oscys.caseid.0551,"Maryland State Archives, General Court of the Western Shore (Judgment Record), MSA S497-19 JG 19",per.006821;per.006817;per.006805;per.001393;per.004360;per.001496;per.006816;per.001493
oscys.case.0015.001,http://earlywashingtondc.org/doc/oscys.case.0015.001,Rezin Ogleton v. Isaac Franklin. Answer,Civil (document),O Say Can You See,1810-09-15,oscys.caseid.0015,"National Archives and Records Administration, Record Group 21, Entry 6, Box 30",per.000130;per.000131;per.000126;per.000127;per.000128;per.000129
oscys.case.0105.008,http://earlywashingtondc.org/doc/oscys.case.0105.008,Ann Williams v. George Miller & George Miller Jr. Summons of George Miller & George Miller Jr.,Civil (document),O Say Can You See,1829-01-26,oscys.caseid.0105,"National Archives and Records Administration, Record Group 21, Entry 6, Box 418, Folder 97",per.000831;per.000832;per.000833;per.000834;per.000278;per.000836;per.000476;per.000001;per.000003;per.000004;per.000461
oscys.case.0061.002,http://earlywashingtondc.org/doc/oscys.case.0061.002,George Hunter v. William M. Offutt & Zadock Offutt. Summons of William M. & Zadock Offutt,Civil (document),O Say Can You See,1824-06-24,oscys.caseid.0061,"National Archives and Records Administration, Record Group 21, Entry 6, Box 329, Folder 58",per.000546;per.000547;per.000548;per.000549;per.000003;per.000004;per.000550;per.000461
oscys.case.0310.002,http://earlywashingtondc.org/doc/oscys.case.0310.002,Harriet Humphreys v. Robert W. Hunter. Summons of Robert W. Hunter,Civil (document),O Say Can You See,1857-01-27,oscys.caseid.0312,"National Archives and Records Administration, Record Group 21, Entry 6, Box 825, Folder 133",per.002352;per.002353;per.000851;per.001388;per.000476;per.001216;per.000740
oscys.case.0436.030,http://earlywashingtondc.org/doc/oscys.case.0436.030,Christiana Dunbar v. Richard B. Alexander. Summons of Mrs. Cagely et al.,Civil (document),O Say Can You See,1848-05-13,oscys.caseid.0479,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 2",per.001346;per.001343;per.003633;per.004449;per.003461;per.003638
oscys.case.0190.005,http://earlywashingtondc.org/doc/oscys.case.0190.005,Olivia Lee v. Nelson Conrad & Benjamin Homans. Disclaimer of Benjamin Homans,Civil (document),O Say Can You See,1841-05-01,oscys.caseid.0192,"National Archives and Records Administration, Record Group 21, Entry 6, Box 631, Folder 70",per.001443;per.001444;per.001445;per.001446;per.001447;per.001448;per.001449;per.001450;per.001138;per.001451
oscys.case.0303.004,http://earlywashingtondc.org/doc/oscys.case.0303.004,Stephen Ambush v. James G. Robinson. Summons of James G. Robinson,Civil (document),O Say Can You See,1855-12-26,oscys.caseid.0305,"National Archives and Records Administration, Record Group 21, Entry 6, Box 805, Folder 237",per.002319;per.002320;per.000829;per.000476;per.002322;per.001216;per.000740
oscys.case.0240.025,http://earlywashingtondc.org/doc/oscys.case.0240.025,Rebecca Madella v. Virginia Munroe. Summons of Virginia Munroe,Civil (document),O Say Can You See,1860-11-13,oscys.caseid.0245,"National Archives and Records Administration, Record Group 21, Entry 6, Box 940, Folder 105",per.001841;per.001843;per.000476;per.001217;per.000740
oscys.case.0162.035,http://earlywashingtondc.org/doc/oscys.case.0162.035,Letty Lucas v. John R. Ratcliffe. Summons of John R. Ratcliffe,Civil (document),O Say Can You See,1859-05-14,oscys.caseid.0164,"National Archives and Records Administration, Record Group 21, Entry 6, Box 904, Folder 52",per.001213;per.001214;per.000476;per.001217;per.000740
oscys.case.0166.012,http://earlywashingtondc.org/doc/oscys.case.0166.012,Lucy Williams v. George Hope. Summons of George Hope,Civil (document),O Say Can You See,1849-08-07,oscys.caseid.0168,"National Archives and Records Administration, Record Group 21, Entry 6, Box 733, Folder 160",per.001228;per.001229;per.000533;per.000004;per.000740;per.000753
oscys.mdcase.0008.015,http://earlywashingtondc.org/doc/oscys.mdcase.0008.015,Charles Mahoney v. John Ashton. Deposition of Eben Paramore,Civil (document),O Say Can You See,1796-06-01,oscys.caseid.0481,"Maryland State Archives, General Court of the Western Shore (Judgments), MSA S498-220",per.004476;per.000215;per.004336;per.004601;per.004337;per.004616;per.004617;per.004618;per.004614;per.004615;per.004619;per.004620
oscys.case.0225.002,http://earlywashingtondc.org/doc/oscys.case.0225.002,William Lewis v. Robert H. Perkins. Summons of Robert H. Perkins,Civil (document),O Say Can You See,1846-04-01,oscys.caseid.0230,"National Archives and Records Administration, Record Group 21, Entry 6, Box 700, Folder 5",per.001779;per.001780;per.000003;per.000004;per.000739
oscys.case.0036.012,http://earlywashingtondc.org/doc/oscys.case.0036.012,Joe Thompson v. Walter Clarke. Probate Notes,Civil (document),O Say Can You See,1805-01-29,oscys.caseid.0036,"National Archives and Records Administration, Record Group 21, Entry 6, Box 123, Folder 446",per.000284;per.000285;per.000286;per.000287;per.000295;per.000291;per.000304;per.000308
oscys.case.0220.003,http://earlywashingtondc.org/doc/oscys.case.0220.003,"Wallace Blue v. John W. Williams, Mary S. Williams, & William S. Colquhoun. Affidavit of Daniel Ratcliffe",Civil (document),O Say Can You See,1845-05-03,oscys.caseid.0220;oscys.caseid.0221;oscys.caseid.0222;oscys.caseid.0223;oscys.caseid.0224,"National Archives and Records Administration, Record Group 21, Entry 6, Box 689, Folder 242",per.001744;per.001745;per.001746;per.001747;per.000751;per.001748;per.001749;per.001750;per.001751;per.001752
oscys.case.0156.005,http://earlywashingtondc.org/doc/oscys.case.0156.005,John Thornton v. Orrin Davis. Bond,Civil (document),O Say Can You See,1835-03-25,oscys.caseid.0158,"National Archives and Records Administration, Record Group 21, Entry 6, Box 528, Folder 313",per.001184;per.001185;per.000003;per.000739
oscys.mb.0073.001,http://earlywashingtondc.org/doc/oscys.mb.0073.001,Nancy Lee v. Augustus Preuss. Minute Book Entry,Civil (document),O Say Can You See,1827-05-22,oscys.caseid.0074,"National Archives and Records Administration, Record Group 21, Microfilm 1021, Reel 3",per.000623;per.000617;per.004216;per.003781;per.002328;per.004217;per.001793;per.003771;per.001794;per.004218;per.003751;per.004219;per.004220;per.004221;per.004222;per.004223;per.004224;per.004225;per.004226;per.000385;per.003754;per.004012;per.004227;per.004047;per.004228;per.004229;per.002240;per.004230;per.003839
oscys.case.0373.003,http://earlywashingtondc.org/doc/oscys.case.0373.003,Sylvia v. George Coryell. Petitioner's Bill of Exceptions,Civil (document),O Say Can You See,,oscys.caseid.0398,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.002835;per.002836;per.002838;per.002839;per.002840;per.002841;per.002842
oscys.case.0370.003,http://earlywashingtondc.org/doc/oscys.case.0370.003,Loudon v. Charles Scott. Complaint,Civil (document),O Say Can You See,,oscys.caseid.0396,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.002915;per.002916;per.001562;per.001523;per.001531;per.002918
oscys.case.0251.006,http://earlywashingtondc.org/doc/oscys.case.0251.006,Margaret Lewis v. Bridget McLaughlin. Summons of Bridget McLaughlin,Civil (document),O Say Can You See,1853-08-02,oscys.caseid.0252,"National Archives and Records Administration, Record Group 21, Entry 6, Box 771, Folder 117",per.001891;per.001892;per.001893;per.001894;per.001895;per.000847;per.000004;per.001216;per.000740
oscys.case.0305.004,http://earlywashingtondc.org/doc/oscys.case.0305.004,Charles Bell v. Luther Jones. Summons of Luther Jones,Civil (document),O Say Can You See,1857-01-12,oscys.caseid.0307,"National Archives and Records Administration, Record Group 21, Entry 6, Box 825, Folder 150",per.002339;per.002340;per.000829;per.002341;per.000476;per.001216;per.000740
oscys.mdcase.0006.006,http://earlywashingtondc.org/doc/oscys.mdcase.0006.006,Robert Thomas v. Henry Pile. Agreement,Civil (document),O Say Can You See,1792-11-22,oscys.caseid.0342,"Maryland State Archives, General Court of Western Shore (Judgments), MSA S498-343",per.001950;per.001943;per.001393;per.001495;per.001964;per.001493
oscys.case.0423.002,http://earlywashingtondc.org/doc/oscys.case.0423.002,Caroline Blue & Noah Blue v. Charles W. C. Dunnington. Affidavit of Richard W. Wheat,Civil (document),O Say Can You See,1843-10-10,oscys.case.0423.003,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 2",per.003468;per.003469;per.003470;per.003471;per.003467;per.003472;per.003473;per.003474
oscys.mdcase.0006.021,http://earlywashingtondc.org/doc/oscys.mdcase.0006.021,Robert Thomas v. Henry Pile. Deposition of Charles Ray,Civil (document),O Say Can You See,1793-03-23,oscys.caseid.0342,"Maryland State Archives, General Court of Western Shore (Judgments), MSA S498-343",per.001950;per.001943;per.001393;per.001495;per.001964;per.002069;per.002058;per.002062;per.002074;per.002042
oscys.case.0240.005,http://earlywashingtondc.org/doc/oscys.case.0240.005,Rebecca Madella v. Georgiana Munroe. Summons of Georgiana Munroe,Civil (document),O Say Can You See,1852-07-17,oscys.caseid.0245,"National Archives and Records Administration, Record Group 21, Entry 6, Box 761, Folder 182",per.001841;per.001842;per.000847;per.000004;per.000740;per.000753
oscys.case.0348.005,http://earlywashingtondc.org/doc/oscys.case.0348.005,Charlotte v. Henry Clay. James Condon's Answers to Interrogatories,Civil (document),O Say Can You See,1829-10-26,oscys.caseid.0373,"National Archives and Records Administration, Record Group 21, Entry 6, Box 437, Folder 121",per.002553;per.002554;per.002555;per.002556;per.002557;per.000003;per.002558;per.002559;per.002560;per.002561;per.002562;per.002563;per.002564
oscys.case.0073.003,http://earlywashingtondc.org/doc/oscys.case.0073.003,Janette Lee v. Augustus Preuss. Writ of Habeas Corpus,Civil (document),O Say Can You See,1829-01-31,oscys.caseid.0073,"National Archives and Records Administration, Record Group 21, Entry 6, Box 385, Folder 109/110/111",per.000619;per.000617;per.000622;per.000003;per.000620;per.000004;per.000616;per.000461
oscys.case.0258.025,http://earlywashingtondc.org/doc/oscys.case.0258.025,Walter Thomas & Dennis Thomas v. Alexander Scott. Charles County Court Records,Civil (document),O Say Can You See,,oscys.caseid.0260,"National Archives and Records Administration, Record Group 21, Entry 6, Box 20, Folder 217",per.001935;per.001936;per.001937;per.001952;per.002021;per.002022;per.002023;per.002024
oscys.case.0231.025,http://earlywashingtondc.org/doc/oscys.case.0231.025,Fanny Hamilton v. Mary Roberson. Summons of Mary Roberson,Civil (document),O Say Can You See,1861-02-19,oscys.caseid.0236,"National Archives and Records Administration, Record Group 21, Entry 6, Box 949, Folder 105",per.001818;per.001819;per.000751;per.000476;per.001217;per.000740
oscys.mdcase.0014.081,http://earlywashingtondc.org/doc/oscys.mdcase.0014.081,Eleanor Butler v. Robert Lawson. Judgment Record,Civil (document),O Say Can You See,1791-10,oscys.caseid.0588,"Maryland State Archives, General Court of the Western Shore (Judgment Record), MSA S497-16",per.006426;per.006425;per.001493
